english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
old man,Noun,anguteq; angun; angutruaq,oldman.mp3,,anguteq; angun; angutruaq,,,oldman.gif,,People & Roles,Administrator,,TRUE,
on top of it,Locative,qaingani,L1.14.02n.mp3,,qaingani,L1.14.02s.mp3,,Bearonbox.gif,,Environment & Location,Administrator,,TRUE,
one,Numeral,allringuq,oneN.mp3,,allriluq,oneS.mp3,,1.gif,,Numbers & Time,Administrator,,TRUE,
one o'clock,Numeral,allringumek kaugaa,OneOClockN.mp3,,allrilumek kaugaa,OneOClockS.mp3,,1o'clock.gif,,Numbers & Time,Administrator,,TRUE,
onion,Noun,luk (1-2); luuget (3+),L1.07.30n.mp3,,luk (1-2); luuget (3+),L1.07.30s.mp3,,Onion.gif,,Food & Kitchen,Administrator,,TRUE,
open it (command),Verb,ikirs'gu,L1.02.06n.mp3,,ikirs'gu,L1.02.06s.mp3,,open.gif,,Physical Actions,Administrator,,TRUE,
oval,Noun,akagnganguasqaq,Oval.mp3,,akagnganguasqaq,,,Oval.gif,,Qualities,Administrator,New Word,TRUE,
"overcoat, long",Noun,pal'tuuk,L1.10.10n.mp3,,pal'tuuk,L1.10.10s.mp3,,longcoat.gif,,Clothing & Regalia,Administrator,,TRUE,
oystercatcher,Noun,kiwiksaq,,,kiwiksaq,,,kiwiksaq.jpeg,,Animals,Administrator,Remembered Word,TRUE,
paddle,Noun,angua'uteq,,,angua'uteq,,,paddle.gif,,"Transportation, Transportation",Administrator,,TRUE,
"painting a picture, s/he is",Verb,pat_aitaliuq,,,pat_iitaliuq,,,SKH_140.gif,,Communication & Arts,Administrator,,TRUE,
paints; colors,Noun,k_aas'kaat,Colors.mp3,,k_aas'kaat,Colors.mp3,,pencils.jpg,,"Qualities, Qualities",Administrator,Color,TRUE,
pajamas; PJs,Noun,qawarsuutek pat'staaniik,,,qawarsuutek pat'staaniik,,,PJs.gif,,Clothing & Regalia,Administrator,,TRUE,
pants,Noun,ul'uk,L1.10.09n.mp3,,ul'uk,L1.10.09s.mp3,,pocket.gif,,Clothing & Regalia,Administrator,,TRUE,
paper,Noun,kalikaq,L1.01.21n.mp3,,kalikaq,L1.01.21s.mp3,,Fotosearch_SWO_018.gif,,Community & Work,Administrator,,TRUE,
Pasagshak,Noun,Pasarsaq,L2.14-2.15s.mp3,,Pasarsaq,L2.14-2.15s.mp3,,pasagshak.gif,,Placenames,Administrator,,TRUE,
pencil; pen,Noun,ka_antaasaq,L1.01.31n.mp3,,ka_antaasaq,L1.01.31s.mp3,,pencil.gif,,Community & Work,Administrator,,TRUE,
"perching, it is",Verb,misngauq,perching.mp3,,misngauq,,,owl2.gif,,Physical Actions,Administrator,,TRUE,
peroshkies; Russian meat or fish pastry,Noun,pi_uc'kiit,,,pi_uc'kiit,,,Fotosearch_FAD_071.gif,,Food & Kitchen,Administrator,,TRUE,
pets,Noun,qungutuwat,pets.mp3,,qungutuwat,,,pets.gif,,Animals,Administrator,,TRUE,
phonebook,Noun,niuwasuutet kalikait,,,niuwasuutet kalikait,,,niuwasuutet_kalikait.jpg,,Household,Administrator,New Word,TRUE,
phosphorescence (in water),Noun,riraarqaa'uq; tanqiyarqaa'uq,,,riraarqaa'uq; tanqiyarqaa'uq,,,,,Environment & Location,Administrator,Remembered Word,TRUE,
picnic basket,Noun,neq'rkat inartaa,picnicbasket.mp3,,neq'rkat inartaa,,,SKT_213.gif,,Food & Kitchen,Administrator,New Word,TRUE,
picture album,Noun,pat_aitat ulutegsuutii,,,pat_iitat ulutegsuutii,,,SKW_106.gif,,"Communication & Arts, Household",Administrator,New Word,TRUE,
pig,Noun,sitiin'kaaq,pig.mp3,,sitiin'kaaq,,,pig2.gif,,Animals,Administrator,,TRUE,
pigeon (like a dove),Noun,qulupiaruaq,,,qulupiaruaq,,,pigeon.gif,,Animals,Administrator,New Word,TRUE,
pillow,Noun,putuskaq,L1.04.09n.mp3,,putuskaq,L1.04.09s.mp3,,pillow.gif,,Household,Administrator,,TRUE,
pilot,Noun,nunalek,,,,,,SKH_138.gif,,People & Roles,Administrator,,TRUE,
pitcher (drinks),Noun,mu_us'niik,,,mu_us'niik,,,SKT_116.gif,,Food & Kitchen,Administrator,,TRUE,
pitcher (drinks),Noun,kugsiinaq,,,kugsiinaq,,,SKT_116.gif,,Food & Kitchen,Administrator,,TRUE,
plants; vegetables,Noun,naut'staat,L1.14.15n.mp3,,naut'staat,L1.14.15s.mp3,,plants.gif,,"Food & Kitchen, Vegetation",Administrator,,TRUE,
plate; dish,Noun,qantaq,L1.06.01n.mp3,,alutaq,L1.06.01s.mp3,,plate.gif,,"Food & Kitchen, Food & Kitchen",Administrator,,TRUE,
"play?, will you",Verb,wamciquten-qaa?,L2.15.23n.mp3,,wamciquten-qaa?,L2.15.23s.mp3,,fotosearch_col_065_copy2.jpg,,"Greetings & Expressions, Community & Work",Administrator,,TRUE,
"playing catch, they (2) are",Verb,akiq'at'staartuk mayaciigmek,,,akiq'at'staartuk mayaciigmek,,,catch.gif,,Physical Actions,Administrator,,TRUE,
pliers,Noun,puksuutek,,,,,,Fotosearch_SKC_078.gif,,Community & Work,Administrator,,TRUE,
point (land),Noun,cingiyaq,,,cingiyaq,,,point.gif,,Environment & Location,Administrator,,TRUE,
point at it (command),Verb,keniru,L1.01.13n.mp3,,keniru,L1.01.13s.mp3,,14680326.gif,,Physical Actions,Administrator,,TRUE,
pond,Noun,nanwangcuk,L2.14.09n.mp3,,nanwangcuk,L2.14.09s.mp3,,nanwangcuk.jpeg,,Environment & Location,Administrator,,TRUE,
pork (pig's meat),Noun,sitiin'kaam kemga,,,sitiin'kaam kemga,,,sitiinkaam_kemga.jpeg,,Food & Kitchen,Administrator,New Word,TRUE,
Port Lions,Noun,Masiqsiraq,L2.14-2.12n.mp3,,Masiqsiraq,L2.14-2.12s.mp3,,Masiqsiraq.gif,,Placenames,Administrator,,TRUE,
post office,Noun,kalikarwik,L1.09.04n.mp3,,kalikarwik,L1.09.04s.mp3,,kalikarwik.jpg,,Environment & Location,Administrator,,TRUE,
"pot, cooking",Noun,asuq,L2.17.15n.mp3,,asuq,L2.17.15s.mp3,,SKT_124.gif,,Food & Kitchen,Administrator,,TRUE,
potato,Noun,ka_tuugaaq,,,ka_tuugaaq,,,skt_156.jpeg,,Food & Kitchen,Administrator,,TRUE,
power sander (thing for planing),Noun,st_uusarsuuteq,,,st_uusarsuuteq,,,struusarsuuteq.jpg,,Community & Work,Administrator,New Word,TRUE,
president,Noun,p_is'itin'taaq,,,p_is'itin'taaq,,,,,People & Roles,Administrator,New Word,TRUE,
pressure point,Noun,caugngaq,,,caugngaq,,,,,Body & Health,Administrator,Remembered Word,TRUE,
"pretending to be a seal, s/he is",Verb,isuwiruangnaquq,L2.08.11n.mp3,,isuwiruangnaquq,L2.08.11s.mp3,,,,"Animals, Community & Work",Administrator,,TRUE,
pull it (command),Verb,cayuru,L1.19.20n.mp3,,cayuru,L1.19.20s.mp3,,,,Physical Actions,Administrator,,TRUE,
"pulling it, s/he is",Verb,cayugaa,L2.10.03n.mp3,,cayugaa,L2.10.03s.mp3,,15856806.gif,,Physical Actions,Administrator,,TRUE,
puppy,Noun,aikungcuk,puppy.mp3,,piugtengcuk; piugka'angcuk,,,skh_196.jpg,,Animals,Administrator,,TRUE,
put it on (command),Verb,asgu,L1.10.01n.mp3,,asgu,L1.10.01s.mp3,,,,Physical Actions,Administrator,,TRUE,
put it; place it (command),Verb,lliigiu,L1.10.05n.mp3,,lliigiu,L1.10.05s.mp3,,,,Physical Actions,Administrator,,TRUE,
put under (command),Verb,acaanun,L1.01.33n.mp3,,acaanun,L1.01.33s.mp3,,bearunderbox.jpg,,Physical Actions,Administrator,,TRUE,
"quiet, all (command)",Verb,nepairci,L2.03.10n.mp3,,nepairci,L2.03.10s.mp3,,,,Physical Actions,Administrator,,TRUE,
"quiet, s/he/it is",Verb,nepaituq,,,nepaituq,,,,,Qualities,Administrator,,TRUE,
rain,Noun,qiteq,L1.10.22n.mp3,,qiteq,L1.10.22s.mp3,,SKW_114.gif,,Weather,Administrator,,TRUE,
raincoat,Noun,taasawik,L1.10.20n.mp3,,taasawik,L1.10.20s.mp3,,raincoat.gif,,Clothing & Regalia,Administrator,,TRUE,
"raining, it is",Verb,qitenguq,L2.01.06n.mp3,,qitenguq,L2.01.06n.mp3,,SKH_100.gif,,Weather,Administrator,,TRUE,
raisin,Noun,isumaq,,,isumaq,,,isumaq.jpg,,Food & Kitchen,Administrator,,TRUE,
rake,Noun,k_aapiq,,,k_aapiq,,,SKH_010.gif,,Community & Work,Administrator,,TRUE,
"raspberries, trailing",Noun,puyurniit,L1.07.20n.mp3,,puyurniit,L1.07.20s.mp3,,puyurniit.jpg,,"Food & Kitchen, Vegetation",Administrator,,TRUE,
rat,Noun,ugna'arpak,,,ugna'arpak,,,rat.gif,,Animals,Administrator,New Word,TRUE,
razor; shaver,Noun,ungai'isuuteq,,,ungai'isuuteq,,,shaver.gif,,Household,Administrator,New Word,TRUE,
rectangle,Noun,yaasiiguaq tak'sqaq,Rectangle.mp3,,yaasiiguaq tak'sqaq,,,Rectangle.gif,,"Qualities, Qualities",Administrator,New Word,TRUE,
red one,Adjective,kawisqaq,L1.06.07n.mp3,,kawisqaq,L1.06.07s.mp3,,red.gif,,Qualities,Administrator,Color,TRUE,
refrigerator,Noun,pat'sna'isuuteq,L1.04.06n.mp3,,pat'sna'isuuteq,L1.04.06s.mp3,,Fridge.gif,,Household,Administrator,,TRUE,
Refuge Rock,Noun,Awa'uq,L2.14-2.20n.mp3,,Awa'uq,L2.14-2.20s.mp3,,refugerock.gif,,Placenames,Administrator,Numb,TRUE,
respect them,Verb,lingaklluki,L1.20.01n.mp3,,lingaklluki,L1.20.01s.mp3,,,,Physical Actions,Administrator,,TRUE,
rice (plural),Noun,_iisaq,L1.06.20n.mp3,,_iisaq,L1.06.20n.mp3,,rice.gif,,Food & Kitchen,Administrator,,TRUE,
rice (plural),Noun,k_upaaq,L1.06.20s.mp3,,k_upaaq,L1.06.20s.mp3,,rice.gif,,Food & Kitchen,Administrator,,TRUE,
right away,Adverb,pianarpiaq,,,pianarpiaq,,,,,Greetings & Expressions,Administrator,,TRUE,
river bank; shore,Noun,kuigem c'hnii,,,kuigem c'hnii,,,riverbank.gif,,Environment & Location,Administrator,,TRUE,
river bank; shore,Noun,kuigem awatii,,,kuigem awatii,,,riverbank.gif,,Environment & Location,Administrator,,TRUE,
"river, via the",Locative,kuigun,L2.19.15n.mp3,,kuigkun,L2.19.15s.mp3,,river.jpg,,Environment & Location,Administrator,,TRUE,
"road, on the",Locative,aprutmi,L2.15.25n.mp3,,aprutmi,L2.15.25s.mp3,,15579798.gif,,Transportation,Administrator,,TRUE,
Rock game (throwing stones at a target),Noun,Yaamaq,L2.08.15n.mp3,,Yaamaq,L2.08.15s.mp3,,,,Household,Administrator,,TRUE,
rockfish,Noun,yaamam iqallua,L1.15.07n.mp3,,yaamam iqallua,L1.15.07s.mp3,,15665852.gif,,Animals,Administrator,,TRUE,
"rockfish, green",Noun,cilupuuk,L2.11.29n.mp3,,ci_upuk,L2.11.29s.mp3,,cilupuukcirupuk.jpg,,Animals,Administrator,,TRUE,
roll (command),Verb,akaa,L1.02.50n.mp3,,akaa,L1.02.50s.mp3,,,,Physical Actions,Administrator,,TRUE,
roll it (command),Verb,akarsgu,L1.01.28n.mp3,,akarsgu,L1.01.28s.mp3,,,,Physical Actions,Administrator,,TRUE,
roof,Noun,englum qainga,,,unglum qainga,,,roof.gif,,Household,Administrator,,TRUE,
roof of mouth,Noun,qila'aq,,,qila'aq,,,roofofmouth.gif,,Body & Health,Administrator,Older word,TRUE,
rooster,Noun,pit'uuraq,rooster.mp3,,pit'uuraq,,,rooster2.gif,,Animals,Administrator,,TRUE,
"rough, it is",Verb,gagtuq,L2.16.07n.mp3,,gagtuq,L2.16.07s.mp3,,rough.jpg,,Qualities,Administrator,,TRUE,
rug; mat,Noun,pal'awik,,,pal'awik,,,rug.gif,,Household,Administrator,,TRUE,
run (command),Verb,qeceng'i,L1.01.39n.mp3,,qeceng'i,L1.01.39s.mp3,,15419763.gif,,Physical Actions,Administrator,,TRUE,
Russia (Russian's Land),Noun,Kasaakat Nunii,,,Kasaakat Nunii,,,WOM_220.gif,,Placenames,Administrator,,TRUE,
"sad, s/he is",Verb,imasuugtuq,L1.11.08n.mp3,,imasuugtuq,L1.11.08s.mp3,,sad.gif,,Senses & Emotions,Administrator,,TRUE,
"salmon berries, I picked",Verb,alagnarsullrianga,L2.08.30n.mp3,,alagnarsullrianga,L2.08.30s.mp3,,,,"Food & Kitchen, Physical Actions, Vegetation",Administrator,,TRUE,
"salmon, king",Noun,aamasuuk,L2.11.26n.mp3,,aamasuuk,L2.11.26s.mp3,,kingsalmon.jpg,,Animals,Administrator,,TRUE,
"salmon, large/big pink",Noun,amartusinaq,L2.03.20n.mp3,,amartusinaq,L2.03.20s.mp3,,,,Animals,Administrator,,TRUE,
"salmon, salted",Noun,sulunaq,L2.12.08n.mp3,,sulunaq,L2.12.08s.mp3,,,,Food & Kitchen,Administrator,,TRUE,
"salmon, small pink",Noun,amartungcuk,L2.03.21n.mp3,,amartungcuk,L2.03.21s.mp3,,,,Animals,Administrator,,TRUE,
"salmonberries, green",Noun,urungilet,,,urungilet,,,urungilet.jpg,,Food & Kitchen,Administrator,Remembered Word,TRUE,
salt,Noun,sauliq,L2.12.01n.mp3,,,,,salt.gif,,Food & Kitchen,Administrator,,TRUE,
"salting it, s/he is",Verb,sulunaraa,L2.18.11n.mp3,,sulunaraa,L2.18.11s.mp3,,salt.gif,,Food & Kitchen,Administrator,,TRUE,
"same, they are all the",Verb,ayuqutut or ayukutut,,,,,,,,Qualities,Administrator,,TRUE,
sand,Noun,qauguyaq,sand.mp3,,qauguyaq,,,sand.gif,,Environment & Location,Administrator,,TRUE,
sandcastle,Noun,qauguyamek engluq,sandcastle.mp3,,qauguyamek ungluq,,,sandcastle.gif,,Environment & Location,Administrator,,TRUE,
satellite,Noun,tanqilek,,,tanqilek,,,satelite.jpg,,Community & Work,Administrator,New Word,TRUE,
saucer,Noun,pelut'saaq,L1.06.14n.mp3,,pelut'saaq,L1.06.14s.mp3,,saucer.gif,,Food & Kitchen,Administrator,,TRUE,
sausage links,Noun,kemeglit,,,kemeglit,,,fotosearch_fad_076.jpg,,Food & Kitchen,Administrator,New Word,TRUE,
"saw it, s/he is about to",Verb,pilakutaraa,L2.18.18n.mp3,,pilakutaraa,L2.18.18s.mp3,,sawing.gif,,Physical Actions,Administrator,,TRUE,
"sawing it, s/he is",Verb,pilaga,L2.05.10n.mp3,,pilaga,L2.05.10s.mp3,,sawing.gif,,Physical Actions,Administrator,,TRUE,
"scared, I am",Verb,alingua,L1.11.06n.mp3,,alingua,L1.11.06s.mp3,,scared.gif,,Senses & Emotions,Administrator,,TRUE,
scarf; hanky; hankie,Noun,plaa'tuuk,L1.16.05n.mp3,,plaa'tuuk,L1.16.05n.mp3,,scarf.gif,,Clothing & Regalia,Administrator,,TRUE,
"school, at the",Locative,skaulumi,,,skuulumi,,,,,Community & Work,Administrator,,TRUE,
scissors,Noun,naus'nit'saak,L1.17.11n.mp3,,nuusicuak,L1.17.11s.mp3,,fotosearch_skc_080.jpg,,Community & Work,Administrator,,TRUE,
screwdriver,Noun,wintaarsuuteq,,,wintaarsuuteq,,,Fotosearch_SKC_081.gif,,Community & Work,Administrator,,TRUE,
scrubber; sponge; switch,Noun,taariteq,,,taariteq,,,sponge.gif,,"Household, Community & Work",Administrator,,TRUE,
scrubber; sponge,Noun,sugsuuteq,,,sugsuuteq,,,sponge.gif,,"Household, Community & Work",Administrator,,TRUE,
sea quail,Noun,kunuriyuq,,,,,,,,Animals,Administrator,,TRUE,
sea's animals,Noun,imam unguwallria'i,,,imam unguwallria'i,,,seaanimals.gif,,Animals,Administrator,,TRUE,
seagull eggs,Noun,qatayam maniit,L1.07.15n.mp3,,qatayam maniit,L1.07.15s.mp3,,15501460.gif,,"Animals, Animals",Administrator,,TRUE,
sealskin wrap,Noun,kutuunaq,,,kutuunaq,,,,,Clothing & Regalia,Administrator,,TRUE,
seasons (weather's changes),Noun,llam cimiyuca,L1.12.12n.mp3,,llam cimiyuca,L1.12.12s.mp3,,seasons.jpg,,Numbers & Time,Administrator,,TRUE,
"see it, I",Verb,tangraqa,L1.02.31n.mp3,,tangraqa,L1.02.31s.mp3,,16183030.gif,,Senses & Emotions,Administrator,,TRUE,
"see it, you",Verb,tangran,L2.05.21n.mp3,,tangran,L2.05.21s.mp3,,16183030_copy1.jpg,,Senses & Emotions,Administrator,,TRUE,
"see me, you",Verb,tang'rarpenga,L2.05.23n.mp3,,tang'rarpenga,L2.05.23s.mp3,,,,Senses & Emotions,Administrator,,TRUE,
"see you, I",Verb,tang'ramken,L2.05.20n.mp3,,tang'ramken,L2.05.20s.mp3,,16183030.jpg,,Senses & Emotions,Administrator,,TRUE,
seeds,Noun,sim'inat,,,sim'inat,,,Seeds.gif,,Vegetation,Administrator,,TRUE,
"sees me, s/he",Verb,tang'raanga,L2.05.24n.mp3,,tang'raanga,L2.05.24s.mp3,,16183030_copy2.jpg,,Senses & Emotions,Administrator,,TRUE,
"sending something to him, s/he is",Verb,caqimek tuyuraa,L2.06.03n.mp3,,caqimek tuyuraa,L2.06.03s.mp3,,,,"Communication & Arts, Physical Actions",Administrator,,TRUE,
"sense (feel) it, to",Verb,ellpeklluku,,,ellpeklluku,,,,,Senses & Emotions,Administrator,,TRUE,
September; Silvers' Moon,Noun,Qakiiyat Iraluat,,,Qakiiyat Iraluat,,,september.gif,,Numbers & Time,Administrator,Month,TRUE,
servant,Noun,mitkiq,,,mitkiq,,,,,People & Roles,Administrator,New Word,TRUE,
seven,Numeral,mallruungin,seven.mp3,,mallruungin,seven.mp3,,7.gif,,Numbers & Time,Administrator,,TRUE,
seven o'clock,Numeral,mallruunginek kaugaa,SevenOClock.mp3,,mallruunginek kaugaa,SevenOClock.mp3,,7o'clock.gif,,Numbers & Time,Administrator,,TRUE,
seventeen,Numeral,qula mallruungin,Seventeen.mp3,,qula mallruungin,Seventeen.mp3,,17.gif,,Numbers & Time,Administrator,,TRUE,
"sewing it, s/he is",Verb,mingqaa,L2.05.02n.mp3,,mingqaa,L2.05.02s.mp3,,sewing.jpg,,"Clothing & Regalia, Community & Work, Physical Actions",Administrator,,TRUE,
"sewing kit, portable (traditional)",Noun,kakiwik,L2.17.06n.mp3,,kakiwik,L2.17.06s.mp3,,Kakiwik.gif,,"Household, Clothing & Regalia, Community & Work",Administrator,,TRUE,
"sewing things together, s/he is",Verb,mingqutuq,,,mingqutuq,,,SKH_061.gif,,"Household, Clothing & Regalia, Community & Work",Administrator,,TRUE,
shake hands (command),Verb,aigartuuru,L1.05.07n.mp3,,aigartuuru,L1.05.07s.mp3,,15316835.gif,,"Community & Work, Physical Actions",Administrator,,TRUE,
shampoo,Noun,qulisuun miilaq,L1.02.55n.mp3,,nuyat milarua'a,L1.02.55s.mp3,,Shampoo.gif,,"Body & Health, Household",Administrator,,TRUE,
shampoo,Noun,quliyutaq; qulit'suuteq,,,quliyutaq; qulit'suuteq,,,Shampoo.gif,,Household,Administrator,,TRUE,
shapes; patterns (things that are made),Noun,canamasqat,Shapes.mp3,,canamasqat,,,shapes.gif,,Qualities,Administrator,,TRUE,
"share, they (all)",Verb,ilakuirtut,L1.16.12n.mp3,,ilakuirtut,L1.16.12n.mp3,,15456191.gif,,"Community & Work, Physical Actions",Administrator,,TRUE,
shark (like an orca),Noun,arlluguaq,,,arlluguaq,,,shark.gif,,Animals,Administrator,New Word,TRUE,
shawl,Noun,saaliq,,,saaliq,,,Shawl.gif,,Clothing & Regalia,Administrator,,TRUE,
sheep,Noun,pa_anaq,L1.07.31n.mp3,,pa_anaq,L1.07.31s.mp3,,sheep.gif,,Animals,Administrator,,TRUE,
shell(s),Noun,salaq (1); salak (2); salat (3+),L1.15.15n.mp3,,salaq (1); salak (2); salat (3+),L1.15.15s.mp3,,shell.gif,,"Animals, Animals",Administrator,,TRUE,
shellfish (clam-like) (3+),Noun,mamaayaruat,,,mamaayaruat,,,Fotosearch_FAD_006.gif,,Food & Kitchen,Administrator,,TRUE,
ship,Noun,pa_ag'autasinaq,,,pa_ag'uutasinaq,,,ship.gif,,Transportation,Administrator,,TRUE,
shirt,Noun,tiup'laaq,L1.10.15n.mp3,,qaliyaruaq; qaliyaq,L1.10.15s.mp3,,SKH_062.gif,,Clothing & Regalia,Administrator,,TRUE,
shoot it (command),Verb,nut'gu,L2.07.07n.mp3,,nut'gu,L2.07.07s.mp3,,sub078.jpg,,Community & Work,Administrator,,TRUE,
"shoot, s/he/it is about to",Verb,nutkutartuq,L2.18.16n.mp3,,nutkutartuq,L2.18.16s.mp3,,sub078_copy1.jpg,,Community & Work,Administrator,,TRUE,
"shooting it, s/he is",Verb,nutegaa,L2.18.05n.mp3,,nutegaa,L2.18.05s.mp3,,sub078_copy2.jpg,,Community & Work,Administrator,,TRUE,
"shooting too much, s/he/it is",Verb,nutegpakartuq,L2.18.20n.mp3,,nut'gpakartuq,L2.18.20s.mp3,,sub078_copy3.jpg,,Community & Work,Administrator,,TRUE,
"short (person), s/he is",Verb,kanagkituq,,,kanagkituq,,,short.gif,,Qualities,Administrator,,TRUE,
"short (thing), it is",Verb,nanituq,L1.19.01n.mp3,,nanituq,L1.19.01s.mp3,,shortobject.gif,,Qualities,Administrator,,TRUE,
"shot it, s/he",Verb,nut'kii,L2.07.05n.mp3,,nut'kii,L2.07.05s.mp3,,sub039.jpg,,Community & Work,Administrator,,TRUE,
shovel,Noun,lapaat'kaaq,L1.17.02n.mp3,,lapaat'kaaq,L1.17.02s.mp3,,shovel.gif,,Community & Work,Administrator,,TRUE,
shrimp,Noun,qumitgarpat,,,qumitgarpat,,,Fotosearch_FAD_008.gif,,Food & Kitchen,Administrator,,TRUE,
"shy, s/he is (always)",Verb,qikitaartuq,L1.11.10n.mp3,,qikitaartuq,L1.11.10s.mp3,,15274922.gif,,Senses & Emotions,Administrator,,TRUE,
"sibling, younger",Noun,wiiwaq,L1.03.06n.mp3,,uyuwaq,L1.03.06s.mp3,,sibling.gif,,People & Roles,Administrator,,TRUE,
"singing, s/he is",Verb,aturtuq,L1.13.12n.mp3,,aturtuq,L1.13.12s.mp3,,SKT_013.gif,,Communication & Arts,Administrator,,TRUE,
"sinking, s/he is",Verb,kit'uq,L2.09.07n.mp3,,kit'uq,L2.09.07s.mp3,,15851272.gif,,Physical Actions,Administrator,,TRUE,
"sister, older",Noun,alqaq,L1.03.04n.mp3,,alqaq,L1.03.04s.mp3,,sisterolder.gif,,People & Roles,Administrator,,TRUE,
"sister, oldest",Noun,aakaa(q),sister1.mp3,,aakaa(q),,,sisterolder.gif,,People & Roles,Administrator,,TRUE,
sit down (command),Verb,aqumi,L1.01.08n.mp3,,aqumi,L1.01.08s.mp3,,sitdown.jpg,,Physical Actions,Administrator,,TRUE,
"sit down, please (asked nicely)",Verb,aqumsaa,L2.02.15n.mp3,,aqumsaa,L2.02.15s.mp3,,sitdown_copy1.jpg,,Physical Actions,Administrator,,TRUE,
Sitkalidak Island,Noun,Salliitaq,,,Salliitaq,,,sitkalidakisland.gif,,Placenames,Administrator,,TRUE,
Sitkinak Island,Noun,Sigtunaq,,,Sigtunaq,,,sitkinakisland.gif,,Placenames,Administrator,,TRUE,
six,Numeral,arwilgen,six.mp3,,arwilgen,six.mp3,,6.gif,,Numbers & Time,Administrator,,TRUE,
six o'clock,Numeral,arwilgenek kaugaa,SixOClock.mp3,,arwilgenek kaugaa,SixOClock.mp3,,6o'clock.gif,,Numbers & Time,Administrator,,TRUE,
sixteen,Numeral,qula arwilgen,Sixteen.mp3,,qula arwilgen,Sixteen.mp3,,16.gif,,Numbers & Time,Administrator,,TRUE,
"skillet, electric (sort of frying pan)",Noun,skuu_utaruaq,,,skuu_utaruaq,,,skuurutaruaq.jpg,,Food & Kitchen,Administrator,New Word,TRUE,
skin; leather; pelt; fur,Noun,amiq,L2.17.26n.mp3,,amiq,L2.17.26s.mp3,,skin.jpg,,Clothing & Regalia,Administrator,,TRUE,
"skinning it, s/he is",Verb,amiraa,L2.18.10n.mp3,,amiraa,L2.18.10s.mp3,,,,"Animals, Community & Work, Physical Actions",Administrator,,TRUE,
"skinny, s/he is",Verb,mayartuq,L1.19.11n.mp3,,mayartuq,L1.19.11s.mp3,,SKW_151.gif,,Qualities,Administrator,,TRUE,
skis (2) (snow's sliders),Noun,anium lluuwarsuutek,,,anium lluuwarsuutek,,,ski.gif,,Transportation,Administrator,New Word,TRUE,
sky; environment; weather; outside,Noun,lla,L1.12.11n.mp3,,lla,L1.12.11s.mp3,,sky.jpg,,"Environment & Location, Weather",Administrator,,TRUE,
sky's animals,Noun,qilam unguwallria'i,skyanimals.mp3,,qilam unguwallria'i,,,birds.gif,,Animals,Administrator,,TRUE,
sleeping bag,Noun,qawarsuuteq,sleepingbag.mp3,,qawarsuuteq,,,sleepingbag.gif,,"Household, Environment & Location",Administrator,,TRUE,
"sleeping too much, s/he is",Verb,qawarpakartuq,L2.18.22n.mp3,,qawarpakartuq,L2.18.22s.mp3,,EVW_126.gif,,Physical Actions,Administrator,,TRUE,
"sleeping, s/he is",Verb,qawartuq,,,qawartuq,,,EVW_126.gif,,Physical Actions,Administrator,,TRUE,
"sleepy, s/he/it is",Verb,qawarniuq,L1.11.11n.mp3,,qawarniuq,L1.11.11s.mp3,,sleepy.gif,,Physical Actions,Administrator,,TRUE,
slipper(s); fur boot(s),Noun,ciciciiq (1); ciciciik (pair),,,ciciciiq (1); ciciciik (pair),,,furboots.gif,,Clothing & Regalia,Administrator,,TRUE,
slippers (pair),Noun,cuuf'liik (N),,,sliipaak (S); aatalaq (S); ciciciiq (S),,,Slippers.gif,,Clothing & Regalia,Administrator,,TRUE,
"slow, s/he/it is",Verb,cukaituq,L1.19.10n.mp3,,cukaituq,L1.19.10s.mp3,,slow.jpg,,"Physical Actions, Qualities",Administrator,,TRUE,
"slow, s/he/it is going too",Verb,cukaipakartuq,L2.18.25n.mp3,,cukaipakartuq,L2.18.25s.mp3,,slow_copy1.jpg,,"Physical Actions, Qualities",Administrator,,TRUE,
slower (command),Verb,cukailuten,L2.20.14n.mp3,,cukailuten,L2.20.14s.mp3,,slow_copy2.jpg,,"Physical Actions, Qualities",Administrator,,TRUE,
small black bird with red bill,Noun,,,,cuwaq,,,,,Animals,Administrator,,TRUE,
"small, it is",Verb,miktuq,L1.19.18n.mp3,,miktuq,L1.19.18s.mp3,,small.gif,,Qualities,Administrator,,TRUE,
"smaller than she, s/he/it is",Adjective,mikellqaa,L2.10.20n.mp3,,mikellqaa,L2.10.20s.mp3,,15764912.gif,,Qualities,Administrator,,TRUE,
"smells good, it",Verb,tepek'gtuq,L1.07.08n.mp3,,tepek'gtuq,L1.07.08s.mp3,,,,Senses & Emotions,Administrator,,TRUE,
"smiling, s/he is",Verb,englauruartuq,,,englauruartuq,,,,,Senses & Emotions,Administrator,,TRUE,
smokestack (for heater),Noun,kaminam t_uupaa,,,kaminam t_uupaa,,,furnacestack.gif,,Household,Administrator,,TRUE,
snack,Noun,nerengcut,,,nerengcut,,,snack.gif,,Food & Kitchen,Administrator,New Word,TRUE,
snout; cartilage,Noun,tatangquq,cartilage.mp3,,tatangquq,,,snout.gif,,Animals,Administrator,,TRUE,
snowshoes (pair),Noun,tangluk,snowshoe.mp3,,tangluk,,,Snowshoe.gif,,Transportation,Administrator,,TRUE,
